EnsembleGI	Chromosome	Gene_Start	Gene_End	Complement	Coding
ENSG00000000003.14	X	100627109	100639991	1	1
ENSG00000000005.5	X	100584802	100599885	0	1
ENSG00000000419.12	20	50934867	50958555	1	1
ENSG00000000457.13	1	169849631	169894267	1	1
ENSG00000000460.16	1	169662007	169854080	0	1
ENSG00000000938.12	1	27612064	27635277	1	1
ENSG00000000971.15	1	196651878	196747504	0	1
ENSG00000001036.13	6	143494811	143511690	1	1
ENSG00000001084.10	6	53497341	53616970	1	1
ENSG00000001167.14	6	41072945	41099976	0	1
ENSG00000001460.17	1	24356999	24416934	1	1
ENSG00000001461.16	1	24415794	24472976	0	1
ENSG00000001497.16	X	65512582	65534775	1	1
ENSG00000001561.6	6	46129993	46146699	0	1
ENSG00000001617.11	3	50155045	50189075	0	1
ENSG00000001626.14	7	117465784	117715971	0	1
ENSG00000001629.9	7	92246234	92401384	0	1
ENSG00000001630.15	7	92112151	92142952	1	1
ENSG00000001631.15	7	92198969	92246166	1	1
ENSG00000002016.17	12	912077	990053	1	1
ENSG00000002079.12	7	99238794	99311130	0	0
ENSG00000002330.13	11	64269830	64284704	1	1
ENSG00000002549.12	4	17577192	17607972	0	1
ENSG00000002586.18	X	2691179	2741309	0	1
ENSG00000002587.9	4	11393150	11429765	1	1
ENSG00000002726.20	7	150824627	150861504	0	1
ENSG00000002745.12	7	121325367	121341104	0	1
ENSG00000002746.14	7	43112599	43566001	0	1
ENSG00000002822.15	7	1815793	2233243	1	1
ENSG00000002834.17	17	38869859	38921770	0	1
ENSG00000002919.14	17	48103357	48123074	0	1
ENSG00000002933.7	7	150800403	150805120	0	1
ENSG00000003056.7	12	8940363	8949955	1	1
ENSG00000003096.13	X	117897813	118117340	1	1
ENSG00000003137.8	2	72129238	72148038	1	1
ENSG00000003147.17	7	8113184	8262687	1	1
ENSG00000003249.13	16	90004865	90020128	1	1
ENSG00000003393.14	2	201700554	201781189	1	1
ENSG00000003400.14	2	201182881	201229406	0	1
ENSG00000003402.19	2	201116104	201176687	0	1
ENSG00000003436.14	2	187464230	187565760	1	1
ENSG00000003509.15	2	37231631	37253403	0	1
ENSG00000003756.16	3	50088908	50119021	0	1
ENSG00000003987.13	8	17298030	17413528	1	1
ENSG00000003989.16	8	17497088	17570573	0	1
ENSG00000004059.10	7	127588345	127591705	0	1
